County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,Student Group,GradeLevel,DisciplineDenominator,DisciplineNumerator,DisciplineRate
Pierce,"27,083",University Place School District,"3,600",Curtis Senior High,P,All Students,12th Grade,506,24,4.70%
Pend Oreille,"26,059",Cusick School District,"2,423",Cusick Jr Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,356",Central Valley School District,"5,328",CVSD Open Doors Programs,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Snohomish,"31,330",Darrington School District,"3,188",Darrington High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Lincoln,"22,207",Davenport School District,"3,173",Davenport Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Yakima,"39,007",Yakima School District,"2,116",Davis High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,2.20%
Pierce,"27,010",Tacoma School District,"1,797",Day Reporting School (Closed after 2018-2019 school year),A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,081",Spokane School District,"1,603",Daybreak Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Clark,"6,119",Battle Ground School District,"5,502",Daybreak Youth Services,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Columbia,"7,002",Dayton School District,"2,302",Dayton High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,210",Federal Way School District,"3,766",Decatur High School,P,All Students,12th Grade,354,5,1.40%
Spokane,"32,414",Deer Park School District,"4,123",Deer Park High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Spokane,"32,414",Deer Park School District,"1,852",Deer Park Home Link Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Adams,"1,147",Othello School District,"5,367",Desert Oasis High School,A,All Students,12th Grade,32,3,9.40%
Kitsap,"18,402",South Kitsap School District,"3,899",Discovery,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Cowlitz,"8,122",Longview School District,"5,312",Discovery High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Cowlitz,"8,122",Longview School District,"5,400",Discovery High School-Achieve,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Spokane,"32,363",West Valley School District (Spokane),"1,628",Dishman Hills High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Clallam,"5,402",Quillayute Valley School District,"1,671",District Run Home School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,003",Puyallup School District,"3,972",E B Walker High School,A,All Students,12th Grade,70,9,12.90%
Kitsap,"18,303",Bainbridge Island School District,"1,935",Eagle Harbor High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Grays Harbor,"14,068",Elma School District,"5,416",East Grays Harbor High School,R,All Students,12th Grade,Count Suppressed,Count Suppressed,13.30%
Grays Harbor,"14,068",Elma School District,"1,629",East Grays Harbor High School,A,All Students,12th Grade,19,4,21.10%
Spokane,"32,361",East Valley School District (Spokane),"3,360",East Valley High School,P,All Students,12th Grade,296,20,6.80%
Yakima,"39,090",East Valley School District (Yakima),"2,344",East Valley High School,P,All Students,12th Grade,236,14,5.90%
King,"17,414",Lake Washington School District,"4,439",Eastlake High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Douglas,"9,206",Eastmont School District,"3,372",Eastmont Junior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Douglas,"9,206",Eastmont School District,"2,727",Eastmont Senior High,P,All Students,12th Grade,540,18,3.30%
Kittitas,"19,028",Easton School District,"3,554",Easton School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,404",Eatonville School District,"2,206",Eatonville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
King,"17,411",Issaquah School District,"3,569",Echo Glen School,I,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,015",Edmonds School District,"5,358",Edmonds Career Access Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Snohomish,"31,015",Edmonds School District,"1,519",Edmonds eLearning Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Snohomish,"31,015",Edmonds School District,"1,966",Edmonds Heights K-12,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Snohomish,"31,015",Edmonds School District,"3,123",Edmonds Woodway High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Asotin,"2,250",Clarkston School District,"1,617",Educational Opportunity Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Asotin,"2,250",Clarkston School District,"5,413",Educational Opportunity Center Reengagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Yakima,"39,007",Yakima School District,"3,206",Eisenhower High School,P,All Students,12th Grade,589,34,5.80%
Kittitas,"19,401",Ellensburg School District,"2,996",Ellensburg High School,P,All Students,12th Grade,251,10,4.00%
Grays Harbor,"14,068",Elma School District,"2,137",Elma High School,P,All Students,12th Grade,101,4,4.00%
Pierce,"27,003",Puyallup School District,"4,540",Emerald Ridge High School,P,All Students,12th Grade,527,17,3.20%
King,"17,414",Lake Washington School District,"3,855",Emerson High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,414",Lake Washington School District,"1,688",Emerson K-12,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,210",Federal Way School District,"1,950",Employment Transition Program,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Chelan,"4,127",Entiat School District,"3,317",Entiat Middle and High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,216",Enumclaw School District,"4,210",Enumclaw Middle School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,216",Enumclaw School District,"3,330",Enumclaw Sr High School,P,All Students,12th Grade,357,6,1.70%
Grant,"13,165",Ephrata School District,"2,920",Ephrata High School,P,All Students,12th Grade,212,8,3.80%
Clark,"6,801",ESD 112 acting as a school district,"5,398",ESD 112 Open Doors Reengagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Thurston,"34,801",ESD 113 acting as a school district,"5,305",ESD 113 Consortium Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Pierce,"27,404",Eatonville School District,"5,332",ESD New Beginnings,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,361",East Valley School District (Spokane),"5,432",EV Online,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,361",East Valley School District (Spokane),"5,433",EV Parent Partnership,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,002",Everett School District,"2,126",Everett High School,P,All Students,12th Grade,358,8,2.20%
Snohomish,"31,002",Everett School District,"5,330",Everett Reengagement Academy,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Clark,"6,114",Evergreen School District (Clark),"2,724",Evergreen High School,P,All Students,12th Grade,457,19,4.20%
King,"17,401",Highline School District,"3,099",Evergreen High School,P,All Students,12th Grade,260,10,3.80%
Spokane,"32,081",Spokane School District,"3,819",Excelsior Youth Center School,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Kitsap,"18,402",South Kitsap School District,"1,718",Explorer Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Whatcom,"37,501",Bellingham School District,"2,066",Fairhaven Middle School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,402",Vashon Island School District,"1,822",Family Link,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,210",Federal Way School District,"2,417",Federal Way High School,P,All Students,12th Grade,382,27,7.10%
King,"17,210",Federal Way School District,"5,107",Federal Way Running Start Home School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Whatcom,"37,502",Ferndale School District,"2,488",Ferndale High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Whatcom,"37,502",Ferndale School District,"5,464",FERNDALE RE-ENGAGEMENT,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Spokane,"32,081",Spokane School District,"3,412",Ferris High School,P,All Students,12th Grade,409,9,2.20%
Pierce,"27,417",Fife School District,"2,773",Fife High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,3.40%
King,"17,412",Shoreline School District,"2,612",Fircrest Residential Habilitation,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,400",Clover Park School District,"2,041",Firwood,I,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clallam,"5,402",Quillayute Valley School District,"1,500",Forks Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clallam,"5,402",Quillayute Valley School District,"2,349",Forks Junior-Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Clark,"6,037",Vancouver School District,"2,179",Fort Vancouver High School,P,All Students,12th Grade,362,19,5.20%
Pierce,"27,010",Tacoma School District,"3,880",Foss,P,All Students,12th Grade,173,7,4.00%
King,"17,406",Tukwila School District,"2,848",Foster Senior High School,P,All Students,12th Grade,236,3,1.30%
King,"17,001",Seattle School District #1,"2,182",Franklin High School,P,All Students,12th Grade,344,5,1.50%
Pierce,"27,402",Franklin Pierce School District,"2,876",Franklin Pierce High School,P,All Students,12th Grade,263,15,5.70%
Spokane,"32,358",Freeman School District,"3,192",Freeman High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Pierce,"27,010",Tacoma School District,"5,307",Fresh Start,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
San Juan,"28,149",San Juan Island School District,"2,879",Friday Harbor High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Pierce,"27,001",Steilacoom Hist. School District,"5,410",Futures Program,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,414",Lake Washington School District,"1,804",Futures School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Lewis,"21,401",Centralia School District,"5,359",Futurus High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Whitman,"38,302",Garfield School District,"1,962",Garfield at Palouse High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,001",Seattle School District #1,"2,306",Garfield High School,P,All Students,12th Grade,468,6,1.30%
Clark,"6,037",Vancouver School District,"1,738",Gate Work Study Program,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Pierce,"27,402",Franklin Pierce School District,"4,063",Gates Secondary School,A,All Students,12th Grade,80,4,5.00%
King,"17,210",Federal Way School District,"5,255",Gateway to College,Z,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
King,"17,411",Issaquah School District,"5,437",Gibson Ek High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,401",Peninsula School District,"4,081",Gig Harbor High,P,All Students,12th Grade,461,10,2.20%
Snohomish,"31,201",Snohomish School District,"5,128",Glacier Peak High School,P,All Students,12th Grade,423,24,5.70%
Klickitat,"20,401",Glenwood School District,"3,048",Glenwood Secondary,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Klickitat,"20,404",Goldendale School District,"2,856",Goldendale High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Pierce,"27,003",Puyallup School District,"3,645",Gov John Rogers High School,P,All Students,12th Grade,633,24,3.80%
Pierce,"27,403",Bethel School District,"5,033",Graham Kapowsin High School,P,All Students,12th Grade,448,15,3.30%
Yakima,"39,200",Grandview School District,"2,555",Grandview High School,P,All Students,12th Grade,199,4,2.00%
Yakima,"39,204",Granger School District,"3,314",Granger High School,P,All Students,12th Grade,110,6,5.50%
Snohomish,"31,332",Granite Falls School District,"2,580",Granite Falls High School,P,All Students,12th Grade,129,8,6.20%
Snohomish,"31,332",Granite Falls School District,"5,349",Granite Falls Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Grays Harbor,"14,005",Aberdeen School District,"5,514",Grays Harbor Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grays Harbor,"14,005",Aberdeen School District,"4,267",Grays Harbor Juvenile Detention,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,302",Chehalis School District,"2,027",Green Hill Academic School,I,All Students,12th Grade,106,24,22.60%
San Juan,"28,149",San Juan Island School District,"1,963",Griffin Bay School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,403",Renton School District,"1,534",Griffin Home,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Thurston,"34,401",Rochester School District,"1,735",H.e.a.r.t. High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,412",Shoreline School District,"1,667",Handicapped Contractual Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grays Harbor,"14,005",Aberdeen School District,"3,857",Harbor High School,P,All Students,12th Grade,78,4,5.10%
Benton,"3,400",Richland School District,"3,833",Hanford High School,P,All Students,12th Grade,541,9,1.70%
